date,Total_PnL,Avg_Execution_Price,Total_Trade_Volume,Total_Fee,Trade_Count,value,classification,Sentiment_Binary,PnL_3D_Mean,PnL_3D_STD,Volume_3D_Mean,TradeCount_3D_Mean
2024-05-08,1.56576,2312.7117384615385,65973.57,23.076826,13,64.0,Greed,1.0,617.8979443333309,535.4507549489425,126902.52666666677,13.333333333333334
2024-05-09,1147.595856,2667.6832657142854,221966.12,77.688132,28,55.0,Greed,1.0,677.5664363333309,600.1369545063575,132219.09000000008,19.666666666666668
2024-05-10,2101.741695,2946.254545454545,156882.0,54.90869,22,66.0,Greed,1.0,1083.6344369999977,1051.5479241711912,148273.89666666675,21.0
2024-05-11,251.604742,2922.511111111111,63248.95,22.137125,9,53.0,Neutral,,1166.9807643333309,925.2207937662448,147365.6900000001,19.666666666666668
2024-05-12,0.0,1272.34931,55179.56,19.312829,23,56.0,Greed,1.0,784.4488123333309,1147.7245490937728,91770.17000000009,18.0
2024-05-13,2136.853859,2635.770588571429,193118.9,67.591599,28,57.0,Greed,1.0,796.1528669999975,1167.8765341471885,103849.13666666676,20.0
2024-05-14,1150.5233050000002,2912.1304347826085,145853.4,51.048685,23,66.0,Greed,1.0,1095.7923879999976,1069.4777737931881,131383.9533333334,24.666666666666668
2024-05-15,948.970582,2930.625,234922.57,82.222887,36,64.0,Greed,1.0,1412.115915333331,635.6804938645757,191298.29000000007,29.0
2024-05-16,214.5898,2656.364285925926,162620.96,56.91732,27,70.0,Greed,1.0,771.3612289999977,492.5968870692297,181132.31000000008,28.666666666666668
2024-05-18,3522.3946610000003,3123.796,126303.14,44.206092,25,73.0,Greed,1.0,1561.9850143333308,1737.018500275866,174615.55666666676,29.333333333333332
2024-05-19,0.0,3079.425,29998.09,10.499327,8,72.0,Greed,1.0,1245.6614869999978,1974.6259531263604,106307.39666666677,20.0
2024-05-20,-74.818442,2156.14175,38124.75,13.343662,10,70.0,Greed,1.0,1149.1920729999977,2055.594158043689,64808.66000000009,14.333333333333334
2024-05-21,7289.397571999999,14134.35288,1100948.59,385.331944,125,76.0,Extreme Greed,,2404.8597099999974,4230.29928536972,389690.4766666668,47.666666666666664
2024-05-22,0.0,3733.3333333333335,44995.29,15.748349,6,76.0,Extreme Greed,,2404.8597099999974,4230.29928536972,394689.54333333345,47.0
2024-05-23,413.347329,1108.603136243077,401850.6,113.430079,325,76.0,Extreme Greed,,2567.581633666664,4094.4319899373063,515931.4933333334,152.0
2024-05-24,821.949278,3844.4,50811.9,17.784165,2,74.0,Greed,1.0,411.7655356666642,410.97692204536605,165885.93000000008,111.0
2024-05-25,14.126039,469.7218425,29991.13,10.246887,16,76.0,Extreme Greed,,416.4742153333309,403.92069695771914,160884.54333333342,114.33333333333333
2024-05-26,778.6839,496.567575,53976.67,18.768191,16,75.0,Extreme Greed,,538.2530723333309,454.42252754079254,44926.566666666746,11.333333333333334
2024-05-27,1129.35587,33.197340745019915,151115.72,45.832466,251,74.0,Greed,1.0,640.721936333331,570.2714454996279,78361.17333333341,94.33333333333333
2024-05-29,277.791953,4235.211447786585,84268.76,36.876599,164,72.0,Greed,1.0,728.610574333331,427.98455537750056,96453.71666666673,143.66666666666666
2024-05-30,20.951433,20348.618645714287,2838.09,0.993326,7,73.0,Greed,1.0,476.0330853333309,580.1851074459031,79407.52333333342,140.66666666666666
2024-05-31,25.35812,2.152072923076923,3636.14,1.272646,13,73.0,Greed,1.0,108.0338353333309,147.0313524659507,30247.6633333334,61.333333333333336
2024-06-01,91.510419,1.1308718,12834.62,4.492106,25,72.0,Greed,1.0,45.939990666664244,39.52660719732676,6436.283333333401,15.0
2024-06-02,192.906947,1.0599227956989248,29464.51,7.792912,93,73.0,Greed,1.0,103.25849533333091,84.3899598916222,15311.756666666735,43.666666666666664
2024-06-03,562.808208,1.3030562857142858,21466.86,5.378086,70,73.0,Greed,1.0,282.4085246666643,248.06914516476934,21255.33000000007,62.666666666666664
2024-06-04,52.211438,13394.864554716982,24243.41,7.432953,53,73.0,Greed,1.0,269.308864333331,263.7332082102211,25058.260000000068,72.0
2024-06-05,56.055506,2682.9926944444446,25350.77,7.1040600000000005,54,75.0,Extreme Greed,,223.6917173333309,293.689785141302,23687.013333333405,59.0
2024-06-06,274.173187,30.647596965811967,137557.76,37.079424,234,78.0,Extreme Greed,,127.48004366666424,127.05452743034321,62383.980000000076,113.66666666666667
2024-06-07,8902.467416,1232.3513694545454,1098588.76,372.962664,440,77.0,Extreme Greed,,3077.5653696666645,5045.6918968289165,420499.09666666674,242.66666666666666
2024-06-08,129.13883900000002,10513.408993103449,97351.88,34.073137,29,72.0,Greed,1.0,3101.926480666664,5023.939201202908,444499.4666666668,234.33333333333334
2024-06-09,0.0,1091.865705882353,22410.22,7.515775,17,75.0,Extreme Greed,,3010.5354183333307,5102.971311773259,406116.9533333334,162.0
2024-06-10,31.266805,280.7776811320755,46587.93,14.696328,53,72.0,Greed,1.0,53.46854799999758,67.37134389968062,55450.010000000075,33.0
2024-06-11,4320.631811,8924.726208861788,373279.92,129.928213,123,74.0,Greed,1.0,1450.6328719999976,2485.5411554970624,147426.0233333334,64.33333333333333
2024-06-12,-21886.531493,1364.4425952755903,193407.96,63.921417,254,72.0,Greed,1.0,-5844.877625666668,14057.050086635258,204425.2700000001,143.33333333333334
2024-06-13,6632.757115,180.8725936708861,132577.22,33.39975,79,70.0,Greed,1.0,-3644.3808556666686,15840.408004900633,233088.36666666673,152.0
2024-06-14,10258.592609,1759.0960645161292,139868.66,38.954076,31,74.0,Greed,1.0,-1665.0605896666693,17605.89630999101,155284.6133333334,121.33333333333333
2024-06-15,3369.958346,2138.914496153846,718350.25,251.422549,78,74.0,Greed,1.0,6753.769356666664,3445.911123972774,330265.37666666677,62.666666666666664
2024-06-16,0.0,4.114990909090909,25235.08,8.832277,11,71.0,Greed,1.0,4542.85031833333,5228.904021248655,294484.6633333334,40.0
2024-06-17,10599.502375,1595.9607578947368,368380.12,128.933025,38,71.0,Greed,1.0,4656.486906999996,5415.600562551602,370655.1500000001,42.333333333333336
2024-06-18,282.57636,2787.8253600000003,263314.79,67.160258,25,74.0,Greed,1.0,3627.3595783333294,6039.7055998319065,218976.66333333342,24.666666666666668
2024-06-19,4887.656944,1563.7263098360656,417071.12,138.851743,61,64.0,Greed,1.0,5256.578559666664,5168.347701986152,349588.67666666675,41.333333333333336
2024-06-20,57478.456026,374.05558,207990.8,13.46905,39,60.0,Greed,1.0,20882.89644333333,31776.216383840652,296125.57000000007,41.666666666666664
2024-06-21,773.5582039999999,877.39821875,176264.49,61.277099,80,63.0,Greed,1.0,21046.557058,31617.936348242863,267108.8033333334,60.0
2024-06-22,756.876565,1765.2402375,169594.27000000002,40.533382,24,53.0,Neutral,,19669.630264999996,32743.40465862573,184616.5200000001,47.666666666666664
